"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"97","0.96",1,5.849,5.245
"98","0.97",1,5.884,5.42
"99","0.98",1,5.935,5.675
"100","0.99",1,5.978,5.89
"101","0.37",1,5.081,1.405
"102","0.6",1,5.23,2.15
"103","0.75",1,5.353,2.765
"104","0.84",1,5.501,3.505
"105","0.9",1,5.611,4.055
"106","0.94",1,5.756,4.78
"107","0.96",1,5.862,5.31
"108","0.97",1,5.862,5.31
"109","0.98",1,5.903,5.515
"110","0.99",1,5.964,5.82
"111","0.37",1,5.092,1.46
"112","0.6",1,5.203,2.015
"113","0.75",1,5.359,2.795
"114","0.84",1,5.48,3.4
"115","0.9",1,5.604,4.02
"116","0.94",1,5.714,4.57
"117","0.96",1,5.865,5.325
"118","0.97",1,5.896,5.48
"119","0.98",1,5.922,5.61
"120","0.99",1,5.92,5.6
"121","0.37",1,5.089,1.445
"122","0.6",1,5.196,1.98
"123","0.75",1,5.323,2.615
"124","0.84",1,5.449,3.245
"125","0.9",1,5.613,4.065
"126","0.94",1,5.714,4.57
"127","0.96",1,5.84,5.2
"128","0.97",1,5.865,5.325
"129","0.98",1,5.919,5.595
"130","0.99",1,5.962,5.81
"131","0.37",1,5.082,1.41
"132","0.6",1,5.221,2.105
"133","0.75",1,5.318,2.59
"134","0.84",1,5.428,3.14
"135","0.9",1,5.605,4.025
"136","0.94",1,5.754,4.77
"137","0.96",1,5.827,5.135
"138","0.97",1,5.901,5.505
"139","0.98",1,5.932,5.66
"140","0.99",1,5.963,5.815
"141","0.37",1,5.089,1.445
"142","0.6",1,5.219,2.095
"143","0.75",1,5.334,2.67
"144","0.84",1,5.478,3.39
"145","0.9",1,5.635,4.175
"146","0.94",1,5.724,4.62
"147","0.96",1,5.806,5.03
"148","0.97",1,5.881,5.405
"149","0.98",1,5.908,5.54
"150","0.99",1,5.956,5.78
"151","0.37",1,5.078,1.39
"152","0.6",1,5.178,1.89
"153","0.75",1,5.341,2.705
